RECTYPE,POLNO,PRODCD,COMMDT,STATCD,EXITDT,EXITRSN,XA08,UNPDDT,SCHNO,SCHNM,PREMAMT,PREMFRQ,XA14,SUMASSD,REGION,MBRNAME,BIRTHDT,NINO,PCODE,COVSTDT,XA22,LOYBONUS,EXTPNPCT,CUSTID
P,0000012355,GPEN,19951022,CL,20000928,SUR,,00000000,SCH00078,Northgate RETAIL Group Plan,120.00,M,,25000,GB,"WILLIAMS, MARY",19541024,LM222086B,CF10 3AT,19951006,C,0.00,7.20,CU839342
P,0000012356,IPEN,20150217,PU,00000000,,,00000000,,,120.00,A,,75000,GB,"BROWN, LINDA",19600227,WK617024B,M1 4WB,20150213,C,0.00,0.00,CU847261
P,0000012357,GPEN,20130423,IF,00000000,,,00000000,SCH00012,ACME Engineering Pension Scheme,45.50,M,,15000,GB,"HALL, LINDA",19641225,MN758490D,W1A 0AX,20130312,C,168.75,0.00,CU855180
P,0000012358,WPEN,20030406,IF,00000000,,,00000000,,,0.00,SP,,75000,GB,"EVANS, JENNIFER",19761117,CE706073A,SW1A 1AA,20030308,C,4500.00,0.00,CU863099
P,0000012359,IPEN,20000322,LA,00000000,,,20030322,,,25.00,Q,,25000,GB,"CLARKE, THOMAS",19520729,NP261941A,OX1 2JD,20000224,C,0.00,0.00,CU871018
P,0000012360,TERM,20090908,IF,00000000,,,00000000,,,18.50,M,,25000,GB,"WILSON, JENNIFER",19830727,HJ946279A,DN55 1PT,20090809,C,0.00,0.00,CU878937
P,0000012361,IPEN,20020707,IF,00000000,,,00000000,,,45.50,A,,75000,GB,"CLARKE, MARY",19531120,CE607314A,NE1 7RU,20020625,C,3000.00,0.00,CU886856
P,0000012362,GPEN,20110317,CL,20241231,DTH,,00000000,SCH00045,  borough council staff scheme ,18.50,Q,,100000,GB,"TAYLOR, PATRICIA",19460223,WK423389A,W1A 0AX,20110207,C,0.00,0.00,CU894775
P,0000012363,IPEN,19861014,PU,00000000,,,00000000,,,250.00,A,,100000,GB,"PATEL, CHARLES",19680519,CC250280C,L1 8JQ,19860928,C,2500.00,0.00,CU902694
P,0000012364,GPEN,20131215,IF,00000000,,,00000000,SCH00045,  borough council staff scheme ,18.50,M,,75000,GB,"MORGAN, PETER",19481220,AA138890C,LS1 4DY,20131211,C,843.75,0.00,CU910613
P,0000012365,TERM,20010730,IF,00000000,,,00000000,,,120.00,A,,250000,GB,"WRIGHT, ANNE",19400913,BB977017A,CR2 6XH,20010618,C,0.00,0.00,CU918532
P,0000012366,GPEN,19891020,PU,00000000,,,00000000,SCH00078,Northgate RETAIL Group Plan,45.50,H,,100000,GB,"JOHNSON, WILLIAM",19580407,AA529959D,G2 8DL,19890907,C,1875.00,0.00,CU926451
P,0000012367,TERM,19870413,IF,00000000,,,00000000,,,45.50,A,,15000,GB,"SMITH, WILLIAM",19510926,PR777236D,S1 2HE,19870304,U,0.00,0.00,CU934370
P,0000012368,IPEN,19900107,IF,00000000,,,00000000,,,120.00,Q,,15000,GB,"EVANS, PETER",19530414,BB382364A,ZZ999,19891211,C,750.00,0.00,CU942289
P,0000012369,GPEN,19960312,IF,00000000,,,00000000,SCH00078,Northgate RETAIL Group Plan,120.00,A,,250000,GB,"WILLIAMS, LINDA",19540730,AB188073C,S1 2HE,19960301,U,9375.00,0.00,CU950208
P,0000012370,TERM,19960218,IF,00000000,,,00000000,,,60.00,M,,15000,GB,"GREEN, LINDA",19571126,WK233752A,EC1A 1BB,19960120,C,0.00,0.00,CU958127
P,0000012371,IPEN,19970701,CL,20110211,TRF,,00000000,,,250.00,A,,100000,GB,"THOMPSON, JAMES",19500507,AA040115A,S1 2HE,19970615,C,0.00,0.00,CU966046
P,0000012372,GPEN,19990127,PU,00000000,,,00000000,SCH00045,  borough council staff scheme ,60.00,M,,100000,GB,"JOHNSON, MICHAEL",19431225,ST381913D,LS1 4DY,19981213,C,1875.00,0.00,CU973965
P,0000012373,TERM,19991024,PU,00000000,,,00000000,,,250.00,M,,50000,GB,"HALL, BARBARA",19760821,BB581343B,EC1A 1BB,19991004,C,0.00,0.00,CU981884
P,0000012374,IPEN,20020103,CL,20170714,DTH,,00000000,,,120.00,Q,,100000,GB,"WRIGHT, RICHARD",19400114,LM823927C,OX1 2JD,20011215,C,0.00,0.00,CU989803
P,0000012375,IPEN,20150423,IF,00000000,,,00000000,,,250.00,A,,25000,GB,"TAYLOR, BARBARA",19700126,WK705477C,W1A 0AX,20150418,C,0.00,0.00,CU997722
P,0000012376,TERM,19910812,IF,00000000,,,00000000,,,60.00,Q,,100000,GB,"TAYLOR, THOMAS",19770307,HJ518392D,W1A 0AX,19910703,C,0.00,0.00,CU005642
P,0000012377,GPEN,20151106,CL,20210921,SUR,,00000000,SCH00012,ACME Engineering Pension Scheme,25.00,Q,,250000,GB,"HALL, THOMAS",19440703,JL478634B,OX1 2JD,20151002,C,0.00,6.00,CU013561
P,0000012378,WPEN,20100127,PU,00000000,,,00000000,,,120.00,A,,250000,GB,"HALL, JENNIFER",19800102,RS471932C,W1A 0AX,20100117,C,2812.50,0.00,CU021480
P,0000012379,TERM,19970610,LA,00000000,,,20090905,,,250.00,A,,25000,GB,"ROBINSON, THOMAS",19461213,AA352161C,LS1 4DY,19970426,C,0.00,0.00,CU029399
P,0000012380,GPEN,19950517,LA,00000000,,,20111006,SCH00045,  borough council staff scheme ,18.50,Q,,75000,GB,"WHITE, WILLIAM",19811019,LM408396A,L1 8JQ,19950421,C,0.00,0.00,CU037318
P,0000012381,IPEN,20001012,IF,00000000,,,00000000,,,60.00,A,,100000,GB,"CLARKE, ANNE",19591014,LM509232A,L1 8JQ,20000911,C,4000.00,0.00,CU045237
P,0000012382,GPEN,20150620,LA,00000000,,,20241231,SCH00045,  borough council staff scheme ,120.00,Q,,100000,GB,"SMITH, RICHARD",19420607,MN908959D,DN55 1PT,20150615,C,0.00,0.00,CU053156
P,0000012383,GPEN,20020103,IF,00000000,,,00000000,SCH00045,  borough council staff scheme ,45.50,H,,75000,GB,"ROBINSON, JENNIFER",19620819,CE998160C,W1A 0AX,20011229,C,2250.00,0.00,CU061075
P,0000012384,WPEN,20140328,IF,00000000,,,00000000,,,0.00,SP,,25000,GB,"JOHNSON, JAMES",19530902,JL591364B,OX1 2JD,20140313,C,562.50,0.00,CU068994
P,0000012385,WPEN,20010719,IF,00000000,,,00000000,,,25.00,M,,50000,GB,"BROWN, PETER",19420421,HJ415922B,LS1 4DY,20010630,C,3000.00,0.00,CU076913
P,0000012386,IPEN,20130219,IF,00000000,,,00000000,,,250.00,H,,100000,GB,"BROWN, PETER",19430907,EH072306C,M1 4WB,20130128,C,1500.00,0.00,CU084832
P,0000012387,TERM,20061228,IF,00000000,,,00000000,,,250.00,H,,75000,GB,"WILLIAMS, JENNIFER",19551020,AA645830D,OX1 2JD,20061125,U,0.00,0.00,CU092751
P,0000012388,IPEN,20110731,IF,00000000,,,00000000,,,18.50,Q,,50000,GB,"HUGHES, LINDA",19810909,HJ352737A,CB2 1TN,20110625,C,750.00,0.00,CU100670
P,0000012389,TERM,19930227,IF,00000000,,,00000000,,,45.50,H,,50000,GB,"ROBINSON, ANNE",19641013,ST089771B,S1 2HE,19930123,C,0.00,0.00,CU108589
P,0000012390,IPEN,19951013,LA,00000000,,,20101025,,,60.00,A,,15000,GB,"TAYLOR, BARBARA",19591118,BB696212C,CB2 1TN,19950918,C,0.00,0.00,CU116508
P,0000012391,IPEN,20000603,IF,00000000,,,00000000,,,45.50,H,,250000,GB,"HUGHES, MICHAEL",19670705,ST330876A,DN55 1PT,20000518,C,10000.00,0.00,CU124427
P,0000012392,GPEN,20060921,LA,00000000,,,20240426,SCH00045,  borough council staff scheme ,18.50,H,,25000,GB,"WRIGHT, LINDA",19720517,MN287636A,SW1A 1AA,20060910,C,0.00,0.00,CU132346
P,0000012393,IPEN,19900831,PU,00000000,,,00000000,,,18.50,A,,15000,GB,"PATEL, BARBARA",19820210,PR053872C,CB2 1TN,19900801,C,375.00,0.00,CU140265
P,0000012394,GPEN,19871207,IF,00000000,,,00000000,SCH00045,  borough council staff scheme ,25.00,M,,25000,GB,"PATEL, BARBARA",19470823,LM635770B,L1 8JQ,19871122,C,937.50,0.00,CU148184
